                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1963,                0.61798,                 1.1088,                0.90661,                0.87952,                0.91997,                0.58901,                 1.4236,                0.64718,                 1.3053,               0.001387,               0.001387,               0.001387
                     89,                 1.1935,                0.61523,                 1.1072,                0.90557,                0.87978,                0.92016,                0.58946,                 1.4241,                0.64701,                 1.3061,               0.001288,               0.001288,               0.001288
                     90,                 1.1885,                0.61134,                 1.1045,                0.90236,                0.88005,                0.91969,                0.58931,                 1.4239,                0.64759,                 1.3057,               0.001189,               0.001189,               0.001189
                     91,                 1.1749,                0.54647,                 1.1111,                0.90178,                0.88043,                 0.9194,                 0.5892,                 1.4233,                0.64794,                  1.306,                0.00109,                0.00109,                0.00109
                     92,                 1.1634,                0.53526,                 1.1063,                0.90151,                0.88005,                0.91955,                0.58896,                 1.4231,                0.64876,                 1.3062,               0.000991,               0.000991,               0.000991
                     93,                 1.1647,                0.53413,                  1.105,                0.90285,                0.88005,                0.91854,                0.58813,                 1.4234,                0.64947,                 1.3063,               0.000892,               0.000892,               0.000892
                     94,                 1.1547,                0.52753,                  1.098,                0.90238,                0.87968,                0.91839,                0.58857,                 1.4231,                 0.6499,                  1.306,               0.000793,               0.000793,               0.000793
                     95,                  1.151,                0.52476,                 1.0961,                0.90241,                0.88005,                0.91837,                0.58859,                 1.4224,                0.65089,                 1.3064,               0.000694,               0.000694,               0.000694
                     96,                 1.1463,                0.51672,                  1.094,                0.90324,                0.87968,                  0.918,                0.58896,                 1.4231,                0.65225,                 1.3069,               0.000595,               0.000595,               0.000595
                     97,                 1.1477,                0.51722,                  1.098,                0.90371,                0.87968,                0.91868,                0.58978,                 1.4227,                0.65168,                 1.3072,               0.000496,               0.000496,               0.000496
                     98,                 1.1457,                0.51672,                 1.0966,                0.90398,                0.87938,                 0.9184,                0.58949,                 1.4228,                0.65181,                 1.3073,               0.000397,               0.000397,               0.000397
                     99,                  1.137,                0.51089,                 1.0928,                0.90347,                0.87931,                0.91821,                0.58988,                 1.4227,                0.65004,                 1.3069,               0.000298,               0.000298,               0.000298
                    100,                  1.133,                0.50798,                 1.0898,                0.90339,                0.88005,                0.91821,                0.59023,                 1.4231,                0.64951,                 1.3077,               0.000199,               0.000199,               0.000199
